Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Milan Škriniar,sk SVK,DF,30-207,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.33,6.0,2.0,4.0,1.33,,Matches
Youssef En-Nesyri,ma MAR,FW,28-097,3,266.0,89.0,98.5,3.0,3,89.0,2,0,,0,2.33,6.0,2.0,4.0,1.35,1.35,Matches
Archie Brown,eng ENG,"MF,DF",23-101,3,237.0,79.0,87.8,2.6,3,79.0,2,0,,0,2.33,6.0,1.0,5.0,1.9,4.63,Matches
Fred,br BRA,MF,32-185,3,208.0,69.0,77.0,2.3,3,69.0,0,0,,0,2.33,6.0,1.0,5.0,2.16,3.62,Matches
İrfan Can Eğribayat,tr TUR,GK,27-068,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,2.0,3.0,1.0,2.0,1.0,-1.0,Matches
Çağlar Söyüncü,tr TUR,DF,29-106,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,0,3.0,6.0,2.0,4.0,2.0,2.0,Matches
Oğuz Aydın,tr TUR,"MF,DF",24-314,3,172.0,57.0,63.7,1.9,2,78.0,0,1,16.0,0,2.33,6.0,2.0,4.0,2.09,2.09,Matches
Talisca,br BRA,MF,31-217,3,171.0,57.0,63.3,1.9,2,75.0,0,1,21.0,0,2.33,6.0,2.0,4.0,2.11,2.11,Matches
Nélson Semedo,pt POR,"MF,DF",31-294,2,141.0,71.0,52.2,1.6,2,71.0,0,0,,0,2.0,3.0,1.0,2.0,1.28,-0.12,Matches
Jáder Durán,co COL,FW,21-267,2,140.0,70.0,51.9,1.6,2,70.0,0,0,,0,2.0,3.0,1.0,2.0,1.29,-0.1,Matches
Sebastian Szymański,pl POL,MF,26-119,3,137.0,46.0,50.7,1.5,1,90.0,1,2,24.0,0,2.33,0.0,0.0,0.0,0.0,-2.71,Matches
İsmail Yüksek,tr TUR,MF,26-223,2,124.0,62.0,45.9,1.4,1,90.0,1,1,34.0,1,3.0,3.0,2.0,1.0,0.73,-1.12,Matches
Jayden Oosterwolde,nl NED,DF,24-133,2,117.0,59.0,43.3,1.3,1,84.0,0,1,33.0,0,2.0,0.0,1.0,-1.0,-0.77,-3.71,Matches
İrfan Kahveci,tr TUR,MF,30-053,3,104.0,35.0,38.5,1.2,1,81.0,0,2,12.0,0,2.33,3.0,1.0,2.0,1.73,0.65,Matches
Sofyan Amrabat,ma MAR,MF,29-016,2,97.0,49.0,35.9,1.1,1,90.0,1,1,7.0,1,2.0,0.0,0.0,0.0,0.0,-2.08,Matches
Yusuf Akçiçek,tr TUR,DF,19-224,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,0,1.0,0.0,0.0,0.0,0.0,-2.0,Matches
Edson Álvarez,mx MEX,MF,27-317,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,0,3.0,3.0,1.0,2.0,2.0,1.0,Matches
Nene Dorgeles,ml MLI,MF,22-257,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,1,3.0,3.0,1.0,2.0,2.0,1.0,Matches
Dominik Livaković,hr CRO,GK,30-240,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,3.0,1.0,2.0,2.0,1.0,Matches
Mert Müldür,tr TUR,DF,26-156,2,46.0,23.0,17.0,0.5,0,,0,2,23.0,0,3.0,0.0,0.0,0.0,0.0,-1.61,Matches
Cengiz Ünder,tr TUR,"FW,MF",28-054,1,9.0,9.0,3.3,0.1,0,,0,1,9.0,1,3.0,0.0,0.0,0.0,0.0,-1.38,Matches
Cenk Tosun,tr TUR,"FW,MF",34-091,1,4.0,4.0,1.5,0.0,0,,0,1,4.0,1,1.0,0.0,0.0,0.0,0.0,-1.35,Matches
Alexander Djiku,gh GHA,"DF,MF",31-028,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-1.34,Matches
Yiğit Efe Demir,,DF,21-035,0,,,,,0,,0,0,,2,,,,,,,Matches
Bartuğ Elmaz,tr TUR,MF,22-199,0,,,,,0,,0,0,,2,,,,,,,Matches
Levent Mercan,de GER,"DF,MF",24-270,0,,,,,0,,0,0,,3,,,,,,,Matches
Squad Total,,,27.6,3,270.0,90.0,100.0,3.0,33,83.0,18,14,17.0,16,2.33,6.0,2.0,4.0,1.33,,
Opponent Total,,,28.1,3,270.0,90.0,100.0,3.0,33,83.0,18,14,18.0,15,0.33,2.0,6.0,-4.0,-1.33,,
