Rk,Squad,Home - MP,Home - W,Home - D,Home - L,Home - GF,Home - GA,Home - GD,Home - Pts,Home - Pts/MP,Away - MP,Away - W,Away - D,Away - L,Away - GF,Away - GA,Away - GD,Away - Pts,Away - Pts/MP
1,Galatasaray,2,2,0,0,6,1,5,6,3.0,2,2,0,0,7,0,7,6,3.0
2,Trabzonspor,3,2,1,0,3,1,2,7,2.33,1,1,0,0,1,0,1,3,3.0
3,Göztepe,2,0,2,0,1,1,0,2,1.0,2,2,0,0,5,0,5,6,3.0
4,Konyaspor,1,1,0,0,3,0,3,3,3.0,2,1,1,0,5,2,3,4,2.0
5,Fenerbahçe,1,1,0,0,3,1,2,3,3.0,2,1,1,0,3,1,2,4,2.0
6,Samsunspor,1,1,0,0,2,1,1,3,3.0,2,1,1,0,2,1,1,4,2.0
7,Antalyaspor,2,1,0,1,3,3,0,3,1.5,2,1,0,1,1,1,0,3,1.5
8,Gaziantep FK,2,1,0,1,2,4,-2,3,1.5,2,1,0,1,3,5,-2,3,1.5
9,Eyüpspor,2,1,0,1,3,5,-2,3,1.5,2,0,1,1,1,2,-1,1,0.5
10,Alanyaspor,2,1,1,0,2,0,2,4,2.0,1,0,0,1,1,2,-1,0,0.0
11,Beşiktaş,1,1,0,0,2,1,1,3,3.0,1,0,0,1,0,2,-2,0,0.0
12,Fatih Karagümrük,1,0,0,1,0,2,-2,0,0.0,2,1,0,1,2,4,-2,3,1.5
13,Başakşehir,2,0,2,0,1,1,0,2,1.0,0,0,0,0,0,0,0,0,
14,Kayserispor,1,0,0,1,0,4,-4,0,0.0,2,0,2,0,2,2,0,2,1.0
15,Kocaelispor,2,0,1,1,1,2,-1,1,0.5,2,0,0,2,1,4,-3,0,0.0
16,Rizespor,1,0,0,1,0,3,-3,0,0.0,2,0,1,1,1,3,-2,1,0.5
17,Kasımpaşa,2,0,0,2,2,4,-2,0,0.0,1,0,0,1,1,2,-1,0,0.0
18,Gençlerbirliği,2,0,0,2,1,4,-3,0,0.0,2,0,0,2,2,4,-2,0,0.0
